outcome	model	eth5	estimate	p	min95	max95	idstr4	num	adjusted
"cpnsdeath"	"model0"	"South Asian"	1.9090913	2.590e-44	1.7434519	2.0904675	""	157	"Age-sex"
"cpnsdeath"	"model0"	"Black"	1.9948031	1.225e-22	1.7372761	2.2905049	""	158	"Age-sex"
"cpnsdeath"	"model0"	"Mixed"	1.6048812	.00065822	1.2224648	2.1069265	""	159	"Age-sex"
"cpnsdeath"	"model0"	"Other"	1.4021647	.00127491	1.1415324	1.722304	""	160	"Age-sex"
"cpnsdeath"	"model1"	"White"	1		1	1	""	161	"Age-sex-IMD"
"cpnsdeath"	"model1"	"South Asian"	1.6643929	1.030e-27	1.5188276	1.8239093	""	162	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Black"	1.668757	5.811e-13	1.451759	1.9181901	""	163	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Mixed"	1.4538728	.00707605	1.1072622	1.9089842	""	164	"Age-sex-IMD"
"cpnsdeath"	"model1"	"Other"	1.3124839	.00959001	1.0684067	1.6123205	""	165	"Age-sex-IMD"
"cpnsdeath"	"model2"	"White"	1		1	1	""	166	"+ co-morbidities"
"cpnsdeath"	"model2"	"South Asian"	1.5546921	3.207e-17	1.4032455	1.7224837	""	167	"+ co-morbidities"
"cpnsdeath"	"model2"	"Black"	1.418096	.00001044	1.2140842	1.6563893	""	168	"+ co-morbidities"
"cpnsdeath"	"model2"	"Mixed"	1.3690682	.04184498	1.011659	1.8527465	""	169	"+ co-morbidities"
"cpnsdeath"	"model2"	"Other"	1.459087	.00105547	1.1638419	1.8292303	""	170	"+ co-morbidities"
"cpnsdeath"	"model3"	"White"	1		1	1	""	171	"+ household size"
"cpnsdeath"	"model3"	"South Asian"	1.3597365	1.822e-08	1.2217423	1.5133171	""	172	"+ household size"
"cpnsdeath"	"model3"	"Black"	1.3934273	.00002958	1.1925354	1.628161	""	173	"+ household size"
"cpnsdeath"	"model3"	"Mixed"	1.3400141	.05810383	.99000293	1.8137702	""	174	"+ household size"
"cpnsdeath"	"model3"	"Other"	1.3859369	.00473528	1.1050601	1.7382052	""	175	"+ household size"
