parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	comorbidity_cat
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.1950549	.65265643	.32628105	.74421172	.40975137	3.4854217	"model2"	"icu"	"3"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6500761	.88422751	.93459372	.34999772	.57725803	4.716697	"model2"	"icu"	"3"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.1134687	.01676697	7.1375898	9.498e-13	1.0810863	1.1468211	"model2"	"icu"	"3"	""
"hba1c_pct"	"HbA1c %"	1.1768246	.05899352	3.2479897	.00116223	1.0666981	1.2983207	"model2"	"icu"	"3"	""
"bp_map"	"Mean Arterial Pressure"	1.0142354	.00704035	2.0362932	.04172092	1.00053	1.0281285	"model2"	"icu"	"3"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"icu"	"3"	""
"2.hh_total_cat"	"Number of people in household"	1.4231204	.29396178	1.708218	.0875959	.9493279	2.1333743	"model2"	"icu"	"3"	""
"3.hh_total_cat"	"Number of people in household"	1.4123789	.41851238	1.1652217	.24392928	.79017886	2.5245095	"model2"	"icu"	"3"	""
"4.hh_total_cat"	"Number of people in household"	2.8821143	1.7317783	1.7616502	.07812842	.88766491	9.3577912	"model2"	"icu"	"3"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"icu"	"3"	""
"1.carehome"	"Care home y/n"	2.008e-17	7.000e-09	-1.103e-07	.99999991	0		"model2"	"icu"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"icu"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	7.8511112	2.4931881	6.4890539	8.638e-11	4.2133228	14.629771	"crude"	"icu"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	14.145428	5.6453755	6.6384912	3.169e-11	6.4700174	30.926212	"crude"	"icu"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	20.543087	11.43879	5.4281948	5.693e-08	6.8976336	61.183073	"crude"	"icu"	"4"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"icu"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	3.5853164	1.2123812	3.7759571	.00015939	1.8479582	6.9560522	"model0"	"icu"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	5.3016463	2.3222487	3.8080496	.00014007	2.2467978	12.510006	"model0"	"icu"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	7.6149354	4.5756254	3.3785913	.00072858	2.3453107	24.724759	"model0"	"icu"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"icu"	"4"	""
"1.male"	"Male"	1.3590393	.37043498	1.1254968	.26037856	.79656088	2.3187025	"model0"	"icu"	"4"	""
"age1"	"Age spline 1"	1.1851086	.11236338	1.7912621	.07325124	.98413216	1.4271279	"model0"	"icu"	"4"	""
"age2"	"Age spline 2"	.84786413	.20545315	-.68106597	.49582975	.52730804	1.3632896	"model0"	"icu"	"4"	""
"age3"	"Age spline 3"	1.1311058	.6790919	.20519666	.83741848	.34870637	3.6689903	"model0"	"icu"	"4"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"icu"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.3368741	1.0121293	1.9598009	.05001907	.99992936	5.4613662	"model2"	"icu"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.1616279	1.2362902	1.3478355	.17771129	.70462333	6.6313943	"model2"	"icu"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.4283239	2.476479	1.7056233	.08807824	.83216449	14.123896	"model2"	"icu"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"icu"	"4"	""
"1.male"	"Male"	1.8345736	.63321122	1.7580886	.07873244	.93269393	3.6085367	"model2"	"icu"	"4"	""
"age1"	"Age spline 1"	1.0552907	.14515561	.3912477	.69561415	.80591461	1.3818318	"model2"	"icu"	"4"	""
"age2"	"Age spline 2"	1.1399444	.38552423	.38728909	.6985422	.58750425	2.2118533	"model2"	"icu"	"4"	""
"age3"	"Age spline 3"	.58069373	.47735933	-.66119061	.50849008	.11593561	2.9085561	"model2"	"icu"	"4"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"icu"	"4"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.2782719	.75457337	.41590041	.67748288	.40193208	4.0653114	"model2"	"icu"	"4"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.7690417	.49223631	-.41028689	.68159551	.21934411	2.6963347	"model2"	"icu"	"4"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.85390154	.51040088	-.26423286	.79160049	.26461885	2.7554645	"model2"	"icu"	"4"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.2898684	.71335213	.46025425	.64533374	.43630955	3.8132571	"model2"	"icu"	"4"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0729456	.02886722	2.6169376	.00887226	1.0178328	1.1310426	"model2"	"icu"	"4"	""
"hba1c_pct"	"HbA1c %"	1.1555901	.11637559	1.435964	.15101258	.9485979	1.4077497	"model2"	"icu"	"4"	""
"bp_map"	"Mean Arterial Pressure"	1.0041888	.01000502	.41954757	.67481599	.98476957	1.023991	"model2"	"icu"	"4"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"icu"	"4"	""
"2.hh_total_cat"	"Number of people in household"	2.2702841	.84984594	2.1902995	.02850252	1.0900489	4.7284022	"model2"	"icu"	"4"	""
"3.hh_total_cat"	"Number of people in household"	1.3489383	.88582618	.4558019	.64853244	.37241026	4.8861018	"model2"	"icu"	"4"	""
"4.hh_total_cat"	"Number of people in household"	6.1132567	6.4577074	1.7138907	.08654881	.77109917	48.465759	"model2"	"icu"	"4"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"icu"	"4"	""
"1.carehome"	"Care home y/n"	3.226e-18	2.963e-09	-4.384e-08	.99999997	0		"model2"	"icu"	"4"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"icu"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	6.4682681	1.5339966	7.8720278	3.489e-15	4.0636791	10.295718	"crude"	"icu"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	8.9987194	3.0940583	6.3899659	1.659e-10	4.5867955	17.654362	"crude"	"icu"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	18.443493	7.6250253	7.0501356	1.787e-12	8.2022697	41.471743	"crude"	"icu"	"5"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"icu"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.9966754	.76190461	4.3166317	.00001584	1.8206302	4.9323929	"model0"	"icu"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.6268158	1.3463967	3.4704677	.00051955	1.7519862	7.5079317	"model0"	"icu"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	7.698045	3.4576234	4.544003	5.520e-06	3.1919651	18.565333	"model0"	"icu"	"5"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"icu"	"5"	""
"1.male"	"Male"	3.1939907	.79907669	4.6417186	3.455e-06	1.9560455	5.2154086	"model0"	"icu"	"5"	""
"age1"	"Age spline 1"	1.1098909	.06448571	1.7944932	.07273448	.99043206	1.2437581	"model0"	"icu"	"5"	""
"age2"	"Age spline 2"	1.0338867	.16652068	.20690818	.83608157	.75400819	1.4176527	"model0"	"icu"	"5"	""
"age3"	"Age spline 3"	.6492045	.27251181	-1.0291709	.30339938	.28515362	1.4780331	"model0"	"icu"	"5"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"icu"	"5"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	.90181725	.30406773	-.30650028	.75922376	.46571156	1.7463048	"model2"	"icu"	"5"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	1.4795861	.61109877	.94853118	.34285911	.65853208	3.3243258	"model2"	"icu"	"5"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	2.5648542	1.2930211	1.8683689	.06171067	.95487402	6.8893667	"model2"	"icu"	"5"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"icu"	"5"	""
"1.male"	"Male"	3.8433583	1.2642503	4.0929334	.0000426	2.0170334	7.3233307	"model2"	"icu"	"5"	""
"age1"	"Age spline 1"	1.2888166	.30777125	1.0624911	.28801279	.80709184	2.0580658	"model2"	"icu"	"5"	""
"age2"	"Age spline 2"	.7680167	.40102499	-.50548781	.61321626	.27600069	2.1371311	"model2"	"icu"	"5"	""
"age3"	"Age spline 3"	1.2636543	1.5064855	.19628792	.84438481	.12213915	13.073795	"model2"	"icu"	"5"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"icu"	"5"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	5.2490432	5.5907751	1.556699	.11954196	.65082209	42.334849	"model2"	"icu"	"5"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	5.8448203	6.1425875	1.679969	.09296335	.74508313	45.849815	"model2"	"icu"	"5"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	6.2223704	6.4654463	1.7594195	.07850628	.81189949	47.688038	"model2"	"icu"	"5"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	8.2296926	8.5413755	2.0308349	.04227174	1.0763278	62.924923	"model2"	"icu"	"5"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0712403	.02557985	2.8819424	.00395232	1.0222598	1.1225676	"model2"	"icu"	"5"	""
"hba1c_pct"	"HbA1c %"	1.2387862	.09974591	2.6593959	.00782809	1.0579336	1.4505554	"model2"	"icu"	"5"	""
"bp_map"	"Mean Arterial Pressure"	1.0115284	.0092454	1.254097	.20980677	.99356912	1.0298124	"model2"	"icu"	"5"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"icu"	"5"	""
"2.hh_total_cat"	"Number of people in household"	1.0301835	.29391312	.1042298	.91698699	.58893224	1.8020376	"model2"	"icu"	"5"	""
"3.hh_total_cat"	"Number of people in household"	.48689436	.2639823	-1.3274444	.18436173	.16824181	1.4090797	"model2"	"icu"	"5"	""
"4.hh_total_cat"	"Number of people in household"	1.1737248	1.2006632	.15658843	.87556922	.15806245	8.7157326	"model2"	"icu"	"5"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"icu"	"5"	""
"1.carehome"	"Care home y/n"	5.267e-16	5.697e-08	-3.252e-07	.99999974	0		"model2"	"icu"	"5"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"cpnsdeath"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	8.574015	.42744305	43.10117	0	7.7758705	9.454084	"crude"	"cpnsdeath"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	27.672873	1.3501927	68.054334	0	25.149138	30.449866	"crude"	"cpnsdeath"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	67.371996	3.2827834	86.405812	0	61.235543	74.123387	"crude"	"cpnsdeath"	"1"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"cpnsdeath"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.4019091	.12584708	16.724314	8.717e-63	2.1674954	2.6616744	"model0"	"cpnsdeath"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	4.2548308	.22555881	27.315399	2.78e-164	3.8349354	4.7207014	"model0"	"cpnsdeath"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	7.5907218	.40851667	37.66269	0	6.8308256	8.4351527	"model0"	"cpnsdeath"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"cpnsdeath"	"1"	""
"1.male"	"Male"	1.8247975	.04874408	22.516768	2.84e-112	1.7317187	1.9228793	"model0"	"cpnsdeath"	"1"	""
"age1"	"Age spline 1"	1.1606682	.03399498	5.0870681	3.636e-07	1.0959156	1.2292467	"model0"	"cpnsdeath"	"1"	""
"age2"	"Age spline 2"	.86770599	.05638044	-2.183905	.02896923	.76394934	.98555446	"model0"	"cpnsdeath"	"1"	""
"age3"	"Age spline 3"	1.3859522	.20241387	2.2348138	.02542957	1.0409575	1.8452852	"model0"	"cpnsdeath"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"cpnsdeath"	"1"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.7406848	.11899343	8.1082149	5.137e-16	1.5224109	1.9902534	"model2"	"cpnsdeath"	"1"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.84853	.19530041	15.268016	1.249e-52	2.4903527	3.2582224	"model2"	"cpnsdeath"	"1"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	4.6615715	.32336324	22.19115	4.18e-109	4.0689871	5.3404564	"model2"	"cpnsdeath"	"1"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"cpnsdeath"	"1"	""
"1.male"	"Male"	2.0361569	.0673418	21.499846	1.56e-102	1.9083563	2.1725162	"model2"	"cpnsdeath"	"1"	""
"age1"	"Age spline 1"	1.0925319	.05142	1.8803332	.06006268	.99625919	1.1981079	"model2"	"cpnsdeath"	"1"	""
"age2"	"Age spline 2"	.99692733	.10066981	-.03047528	.97568801	.81791675	1.2151165	"model2"	"cpnsdeath"	"1"	""
"age3"	"Age spline 3"	1.0055801	.22514233	.02485373	.98017164	.64839343	1.5595336	"model2"	"cpnsdeath"	"1"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"cpnsdeath"	"1"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.2227791	.06408946	3.8373375	.00012438	1.1034026	1.3550708	"model2"	"cpnsdeath"	"1"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2915034	.06826843	4.8393609	1.303e-06	1.1643977	1.432484	"model2"	"cpnsdeath"	"1"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.5370833	.08053315	8.2049639	2.307e-16	1.3870751	1.7033144	"model2"	"cpnsdeath"	"1"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.7793114	.09561154	10.723458	7.899e-27	1.6014469	1.9769305	"model2"	"cpnsdeath"	"1"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0259462	.00307004	8.5601487	1.127e-17	1.0199467	1.0319811	"model2"	"cpnsdeath"	"1"	""
"hba1c_pct"	"HbA1c %"	1.2268177	.01366349	18.354782	3.023e-75	1.2003279	1.2538921	"model2"	"cpnsdeath"	"1"	""
"bp_map"	"Mean Arterial Pressure"	.99386319	.00095824	-6.3845604	1.719e-10	.99198685	.99574308	"model2"	"cpnsdeath"	"1"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"cpnsdeath"	"1"	""
"2.hh_total_cat"	"Number of people in household"	1.0443945	.05156672	.87974617	.37899683	.9480619	1.1505154	"model2"	"cpnsdeath"	"1"	""
"3.hh_total_cat"	"Number of people in household"	1.4512246	.15915639	3.3956999	.00068453	1.1705313	1.7992282	"model2"	"cpnsdeath"	"1"	""
"4.hh_total_cat"	"Number of people in household"	2.223752	.21333077	8.3307876	8.031e-17	1.8425878	2.6837651	"model2"	"cpnsdeath"	"1"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"cpnsdeath"	"1"	""
"1.carehome"	"Care home y/n"	2.3625266	.22175113	9.1595427	5.212e-20	1.9655376	2.8396974	"model2"	"cpnsdeath"	"1"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"cpnsdeath"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	6.6387128	.83821579	14.99201	8.281e-51	5.1833394	8.5027247	"crude"	"cpnsdeath"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	27.941172	3.3915738	27.434737	1.06e-165	22.025386	35.445877	"crude"	"cpnsdeath"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	57.783397	7.5098078	31.213847	6.91e-214	44.789563	74.546852	"crude"	"cpnsdeath"	"2"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"cpnsdeath"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.5420878	.21022743	3.1772049	.00148702	1.1805049	2.0144219	"model0"	"cpnsdeath"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	3.3541141	.46431347	8.7421707	2.287e-18	2.5570848	4.3995731	"model0"	"cpnsdeath"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	5.1656327	.77334666	10.968058	5.443e-28	3.8520345	6.9271863	"model0"	"cpnsdeath"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"cpnsdeath"	"2"	""
"1.male"	"Male"	1.6338128	.1386162	5.786232	7.198e-09	1.383517	1.9293902	"model0"	"cpnsdeath"	"2"	""
"age1"	"Age spline 1"	1.0499673	.04144721	1.2351945	.21675812	.97179529	1.1344275	"model0"	"cpnsdeath"	"2"	""
"age2"	"Age spline 2"	1.2167039	.11958719	1.9956229	.04597498	1.003511	1.4751889	"model0"	"cpnsdeath"	"2"	""
"age3"	"Age spline 3"	.5605961	.13063406	-2.4836368	.01300484	.35505618	.88512186	"model0"	"cpnsdeath"	"2"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"cpnsdeath"	"2"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	1.2088302	.19238801	1.1916462	.2334	.88490102	1.6513378	"model2"	"cpnsdeath"	"2"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	2.2298203	.36293127	4.9269378	8.353e-07	1.6207877	3.0677052	"model2"	"cpnsdeath"	"2"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	3.6207713	.62627459	7.438909	1.015e-13	2.5797117	5.0819575	"model2"	"cpnsdeath"	"2"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"cpnsdeath"	"2"	""
"1.male"	"Male"	1.7919058	.17501151	5.9720782	2.343e-09	1.4797222	2.1699522	"model2"	"cpnsdeath"	"2"	""
"age1"	"Age spline 1"	.96486795	.05212772	-.66198108	.50798335	.86792275	1.0726417	"model2"	"cpnsdeath"	"2"	""
"age2"	"Age spline 2"	1.4758176	.19308665	2.9748621	.0029312	1.142002	1.90721	"model2"	"cpnsdeath"	"2"	""
"age3"	"Age spline 3"	.36440173	.11177749	-3.2910288	.00099822	.19974722	.66478332	"model2"	"cpnsdeath"	"2"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"cpnsdeath"	"2"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.3660417	.40484613	1.0524789	.29257989	.76418431	2.4419108	"model2"	"cpnsdeath"	"2"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	2.0931354	.55981152	2.7618616	.00574728	1.239203	3.5355108	"model2"	"cpnsdeath"	"2"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	2.5702765	.66749564	3.6350436	.00027793	1.5449859	4.2759752	"model2"	"cpnsdeath"	"2"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	2.5760819	.6816329	3.5762183	.0003486	1.5336675	4.3270123	"model2"	"cpnsdeath"	"2"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0498051	.00959908	5.3156486	1.063e-07	1.0311589	1.0687886	"model2"	"cpnsdeath"	"2"	""
"hba1c_pct"	"HbA1c %"	1.1065408	.03494143	3.2060736	.0013456	1.040133	1.1771884	"model2"	"cpnsdeath"	"2"	""
"bp_map"	"Mean Arterial Pressure"	.99439788	.00279621	-1.9978463	.04573333	.98893248	.99989348	"model2"	"cpnsdeath"	"2"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"cpnsdeath"	"2"	""
"2.hh_total_cat"	"Number of people in household"	1.0456491	.11387282	.40989183	.6818853	.84467337	1.2944436	"model2"	"cpnsdeath"	"2"	""
"3.hh_total_cat"	"Number of people in household"	1.0700882	.13653451	.53092019	.59547408	.83332271	1.374124	"model2"	"cpnsdeath"	"2"	""
"4.hh_total_cat"	"Number of people in household"	.71717833	.21967394	-1.0853	.2777888	.39346082	1.3072325	"model2"	"cpnsdeath"	"2"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"cpnsdeath"	"2"	""
"1.carehome"	"Care home y/n"	9.3147577	3.2838426	6.3300273	2.451e-10	4.6675323	18.58899	"model2"	"cpnsdeath"	"2"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"cpnsdeath"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	10.54093	2.4290072	10.220922	1.598e-24	6.7101413	16.558699	"crude"	"cpnsdeath"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	39.797908	9.2434248	15.860799	1.184e-56	25.244163	62.742168	"crude"	"cpnsdeath"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	84.516191	20.785698	18.04094	9.295e-73	52.191233	136.86181	"crude"	"cpnsdeath"	"3"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"cpnsdeath"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	3.3062766	.81346893	4.8603215	1.172e-06	2.0413217	5.3550917	"model0"	"cpnsdeath"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	6.9586054	1.8087168	7.4636056	8.419e-14	4.1809357	11.581663	"model0"	"cpnsdeath"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	10.32471	2.8865276	8.3503267	6.807e-17	5.9690257	17.8588	"model0"	"cpnsdeath"	"3"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"cpnsdeath"	"3"	""
"1.male"	"Male"	1.99403	.27822094	4.9464111	7.559e-07	1.516932	2.6211824	"model0"	"cpnsdeath"	"3"	""
"age1"	"Age spline 1"	1.1380189	.09848764	1.4939256	.13519506	.96047014	1.3483885	"model0"	"cpnsdeath"	"3"	""
"age2"	"Age spline 2"	.95098232	.1882172	-.25394165	.79954064	.64521391	1.4016551	"model0"	"cpnsdeath"	"3"	""
"age3"	"Age spline 3"	1.02247	.46537027	.04882256	.9610607	.41901731	2.4949921	"model0"	"cpnsdeath"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model2"	"cpnsdeath"	"3"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	2.6420184	.83310178	3.0810581	.00206266	1.4240602	4.9016616	"model2"	"cpnsdeath"	"3"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	4.3727178	1.4499636	4.4493815	8.612e-06	2.2829626	8.3753722	"model2"	"cpnsdeath"	"3"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	6.3007769	2.197556	5.2775309	1.309e-07	3.1806505	12.481657	"model2"	"cpnsdeath"	"3"	"4"
"0b.male"	"Male"	1	0			1	1	"model2"	"cpnsdeath"	"3"	""
"1.male"	"Male"	2.8894036	.49784368	6.158162	7.359e-10	2.0613244	4.0501403	"model2"	"cpnsdeath"	"3"	""
"age1"	"Age spline 1"	1.1412942	.21978171	.68630241	.49252243	.78249166	1.6646215	"model2"	"cpnsdeath"	"3"	""
"age2"	"Age spline 2"	.97064172	.39237524	-.07371271	.94123898	.4395078	2.1436374	"model2"	"cpnsdeath"	"3"	""
"age3"	"Age spline 3"	.9547058	.85071913	-.05201784	.95851448	.16648726	5.4746723	"model2"	"cpnsdeath"	"3"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"cpnsdeath"	"3"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.8822805	1.2109015	.98316203	.3255277	.53344862	6.6416514	"model2"	"cpnsdeath"	"3"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	2.6916332	1.6424448	1.6226516	.10466391	.81397199	8.9006617	"model2"	"cpnsdeath"	"3"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	3.0745936	1.8401694	1.8766206	.06057011	.95134196	9.9366225	"model2"	"cpnsdeath"	"3"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	2.5660815	1.5418572	1.5683839	.11679156	.79034555	8.3315134	"model2"	"cpnsdeath"	"3"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0717591	.01490423	4.9834412	6.246e-07	1.0429419	1.1013726	"model2"	"cpnsdeath"	"3"	""
"hba1c_pct"	"HbA1c %"	1.1949439	.05279935	4.0307042	.00005561	1.0958135	1.3030419	"model2"	"cpnsdeath"	"3"	""
"bp_map"	"Mean Arterial Pressure"	.99137779	.00459247	-1.8693506	.06157405	.98241745	1.0004198	"model2"	"cpnsdeath"	"3"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"cpnsdeath"	"3"	""
"2.hh_total_cat"	"Number of people in household"	.87555822	.16336102	-.71226359	.47630157	.60739115	1.2621228	"model2"	"cpnsdeath"	"3"	""
"3.hh_total_cat"	"Number of people in household"	.80557087	.26114465	-.66693966	.50481068	.42674344	1.5206899	"model2"	"cpnsdeath"	"3"	""
"4.hh_total_cat"	"Number of people in household"	2.603114	1.2391644	2.0097584	.04445676	1.0239869	6.6174698	"model2"	"cpnsdeath"	"3"	""
"0b.carehome"	"Care home y/n"	1	0			1	1	"model2"	"cpnsdeath"	"3"	""
"1.carehome"	"Care home y/n"	4.4817564	2.3205484	2.8970315	.00376712	1.6244862	12.364611	"model2"	"cpnsdeath"	"3"	""
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"crude"	"cpnsdeath"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	10.625723	4.6058692	5.4520732	4.979e-08	4.5435282	24.849851	"crude"	"cpnsdeath"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	39.190657	17.398284	8.2633732	1.416e-16	16.417253	93.554482	"crude"	"cpnsdeath"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	140.88416	61.950991	11.252219	2.258e-29	59.506354	333.55006	"crude"	"cpnsdeath"	"4"	"4"
"1b.comorbidity_cat"	"Catgeorised co-morbidity count"	1	0			1	1	"model0"	"cpnsdeath"	"4"	"1"
"2.comorbidity_cat"	"Catgeorised co-morbidity count"	3.9236673	1.8450543	2.9071004	.00364796	1.5610814	9.8618592	"model0"	"cpnsdeath"	"4"	"2"
"3.comorbidity_cat"	"Catgeorised co-morbidity count"	7.8702514	4.1128279	3.9479009	.00007884	2.8259767	21.918389	"model0"	"cpnsdeath"	"4"	"3"
"4.comorbidity_cat"	"Catgeorised co-morbidity count"	20.655015	11.099534	5.634698	1.754e-08	7.2045894	59.216374	"model0"	"cpnsdeath"	"4"	"4"
"0b.male"	"Male"	1	0			1	1	"model0"	"cpnsdeath"	"4"	""
