idstr	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	eth5	idstr5	hh_total_cat
"model2_icu_eth5_1"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.dm_type"	"Diabetes Type"	1.2857846	.31647411	1.021273	.3071251	.79370542	2.0829415	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"2.dm_type"	"Diabetes Type"	1.1534538	.11080141	1.486154	.1372384	.95550579	1.3924099	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"3.dm_type"	"Diabetes Type"	1.0754709	.16881473	.46352428	.64298861	.79065508	1.4628851	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.cancer"	"Cancer"	1.0085659	.1082499	.079469	.93665959	.81723017	1.2446986	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.chronic_liver_disease"	"Chronic liver disease"	.82194703	.23059678	-.69891183	.48460713	.47428536	1.4244524	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.stroke"	"Stroke"	1.2451036	.16719963	1.6324801	.1025784	.95697653	1.6199802	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.dementia"	"Dementia"	.20182345	.20279397	-1.5927031	.11122682	.02816287	1.4463267	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.other_neuro"	"Neurological disease"	1.2628306	.28109938	1.0483436	.29448031	.81634204	1.9535208	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.egfr60"	"CKD defined by egfr<60"	1.4992433	.14794133	4.1038856	.00004063	1.2355997	1.8191412	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.esrf"	"end stage renal failure"	5.6718291	1.466956	6.7101709	1.944e-11	3.4164042	9.4162292	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_1"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.2457612	.33980481	.8056155	.42046459	.72988356	2.1262584	"model2"	"icu"	"eth5"	""	""
"crude_icu_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"icu"	"eth5"	""	"1"
"crude_icu_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.244539	.17421064	1.5628309	.11809236	.94592622	1.6374187	"crude"	"icu"	"eth5"	""	"2"
"crude_icu_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.15971	.18791788	.91441094	.36050095	.84415425	1.5932245	"crude"	"icu"	"eth5"	""	"3"
"crude_icu_eth5_2"	"4.hh_total_cat"	"Number of people in household"	.83624286	.26252428	-.56966352	.56890594	.45197261	1.5472223	"crude"	"icu"	"eth5"	""	"4"
"model0_icu_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"icu"	"eth5"	""	"1"
"model0_icu_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.3983477	.19769302	2.3716259	.01771001	1.0599261	1.8448233	"model0"	"icu"	"eth5"	""	"2"
"model0_icu_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.3885963	.22654627	2.0122469	.04419392	1.0085663	1.9118225	"model0"	"icu"	"eth5"	""	"3"
"model0_icu_eth5_2"	"4.hh_total_cat"	"Number of people in household"	1.1976249	.37802225	.57134235	.5677676	.64512636	2.2232938	"model0"	"icu"	"eth5"	""	"4"
"model0_icu_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_2"	"1.male"	"Male"	2.3800378	.28336378	7.2831104	3.262e-13	1.8846949	3.0055686	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_2"	"age1"	"Age spline 1"	1.0456226	.0267798	1.7419053	.08152501	.99443079	1.0994498	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_2"	"age2"	"Age spline 2"	1.2637047	.09368538	3.1570257	.00159387	1.0928017	1.4613353	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_2"	"age3"	"Age spline 3"	.39058438	.07753663	-4.7357327	2.183e-06	.26469095	.57635578	"model0"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model1"	"icu"	"eth5"	""	"1"
"model1_icu_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.3858184	.19593144	2.3078475	.02100762	1.0504145	1.8283188	"model1"	"icu"	"eth5"	""	"2"
"model1_icu_eth5_2"	"3.hh_total_cat"	"Number of people in household"	1.3225886	.21639289	1.7088531	.08747817	.9597475	1.8226049	"model1"	"icu"	"eth5"	""	"3"
"model1_icu_eth5_2"	"4.hh_total_cat"	"Number of people in household"	1.1130057	.3520038	.33852762	.73496562	.59881522	2.0687209	"model1"	"icu"	"eth5"	""	"4"
"model1_icu_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"1.male"	"Male"	2.3614763	.28124506	7.2150097	5.393e-13	1.869855	2.9823544	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"age1"	"Age spline 1"	1.0466803	.02686606	1.7774586	.07549281	.99532643	1.1006839	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"age2"	"Age spline 2"	1.2613481	.09366581	3.1266596	.00176804	1.0905008	1.4589617	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"age3"	"Age spline 3"	.39231752	.07797804	-4.7075447	2.507e-06	.26573617	.57919489	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1440149	.30213459	.50944279	.61044189	.68175634	1.9197037	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.5605022	.37212929	1.8661136	.06202548	.97786829	2.4902813	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	2.0339601	.46007952	3.1387629	.00169663	1.3055743	3.1687157	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_2"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.3867241	.3303928	1.3722495	.16998579	.86933612	2.2120369	"model1"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"icu"	"eth5"	""	"1"
"model2_icu_eth5_2"	"2.hh_total_cat"	"Number of people in household"	1.0372201	.16264967	.23304308	.81572795	.76276617	1.4104265	"model2"	"icu"	"eth5"	""	"2"
"model2_icu_eth5_2"	"3.hh_total_cat"	"Number of people in household"	.97903916	.18091749	-.11463576	.90873383	.68156266	1.406353	"model2"	"icu"	"eth5"	""	"3"
"model2_icu_eth5_2"	"4.hh_total_cat"	"Number of people in household"	.86750273	.33004301	-.37359952	.70870229	.41155668	1.8285719	"model2"	"icu"	"eth5"	""	"4"
"model2_icu_eth5_2"	"0b.male"	"Male"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.male"	"Male"	3.1421217	.45285695	7.9438104	1.961e-15	2.3688848	4.1677539	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"age1"	"Age spline 1"	.99165693	.03936196	-.21107091	.83283194	.91743353	1.0718853	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"age2"	"Age spline 2"	1.3410783	.14200006	2.77163	.00557764	1.0897445	1.6503787	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"age3"	"Age spline 3"	.35667874	.09673822	-3.8010537	.00014408	.20961134	.60693147	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.4275534	.46174606	1.1005071	.27111125	.75730159	2.6910132	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.6218286	.49013819	1.600043	.10958903	.89693409	2.9325768	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"4.imd"	"Index of Multiple Deprivation (IMD)"	2.0305281	.58669803	2.4513715	.0142313	1.1525612	3.577289	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.5556929	.46497931	1.4785462	.13926163	.86598264	2.7947215	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.073305	.0124748	6.0865461	1.154e-09	1.0491312	1.0980358	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"hba1c_pct"	"HbA1c %"	1.2683788	.056922	5.2974908	1.174e-07	1.1615795	1.3849975	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0047408	.00595244	.7983319	.42467791	.99314171	1.0164754	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	.70917451	.10808494	-2.2548044	.02414561	.52604379	.9560582	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.12904584	.05900332	-4.4782677	7.525e-06	.05266853	.31618179	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.hypertension"	"Diagnosed hypertension"	1.0394407	.14866784	.27045841	.78680761	.78533531	1.3757652	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"bp_map"	"Mean Arterial Pressure"	1.0019797	.00116389	1.7026013	.08864271	.99970109	1.0042635	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.6441518	.45343024	1.8029517	.0713958	.95762269	2.8228605	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	.90581732	.16872918	-.53103617	.59539372	.62875996	1.3049575	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.dm_type"	"Diabetes Type"	1.1849552	.73078378	.27517405	.78318253	.35379376	3.9687493	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"2.dm_type"	"Diabetes Type"	.74727884	.13913737	-1.5646044	.11767569	.51879494	1.0763899	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"3.dm_type"	"Diabetes Type"	1.1772735	.25688166	.74794138	.45449552	.76761734	1.8055519	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.cancer"	"Cancer"	1.3196805	.38252859	.95696293	.33858597	.7477142	2.329174	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.chronic_liver_disease"	"Chronic liver disease"	1.4910914	.68135497	.87429232	.38195908	.60890183	3.6514154	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.stroke"	"Stroke"	1.7024086	.48934549	1.8509548	.06417605	.9691519	2.9904446	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.dementia"	"Dementia"	1.419e-13	4.728e-07	-8.879e-06	.99999292	0		"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.other_neuro"	"Neurological disease"	.73245735	.52513509	-.43427057	.66409197	.17968575	2.9857336	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.egfr60"	"CKD defined by egfr<60"	1.2531715	.30981146	.91285415	.36131925	.77192452	2.0344461	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.esrf"	"end stage renal failure"	4.7950127	2.4248048	3.0998572	.00193614	1.7796845	12.919226	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_2"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	.84910419	.49694521	-.27948925	.77986938	.26964246	2.6738293	"model2"	"icu"	"eth5"	""	""
"crude_icu_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"icu"	"eth5"	""	"1"
"crude_icu_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.0722471	.18642925	.40120462	.68826948	.76260272	1.5076184	"crude"	"icu"	"eth5"	""	"2"
"crude_icu_eth5_3"	"3.hh_total_cat"	"Number of people in household"	.95830664	.22840623	-.17868098	.8581882	.60065636	1.5289135	"crude"	"icu"	"eth5"	""	"3"
"crude_icu_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.1703377	.60623902	.30365117	.76139366	.42401951	3.2302532	"crude"	"icu"	"eth5"	""	"4"
"model0_icu_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model0"	"icu"	"eth5"	""	"1"
"model0_icu_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.3893473	.24422823	1.8706465	.06139409	.98442183	1.960832	"model0"	"icu"	"eth5"	""	"2"
"model0_icu_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.4042473	.3392339	1.4053547	.15991583	.8746068	2.2546251	"model0"	"icu"	"eth5"	""	"3"
"model0_icu_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.8813271	.97648443	1.2175886	.22338035	.68023111	5.2032195	"model0"	"icu"	"eth5"	""	"4"
"model0_icu_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_3"	"1.male"	"Male"	2.001061	.33165552	4.1853396	.00002847	1.4460467	2.769098	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_3"	"age1"	"Age spline 1"	1.0601253	.04461937	1.3872373	.16536943	.97618285	1.151286	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_3"	"age2"	"Age spline 2"	1.2350166	.14471143	1.8014665	.07162938	.98159966	1.5538576	"model0"	"icu"	"eth5"	""	""
"model0_icu_eth5_3"	"age3"	"Age spline 3"	.42362748	.12886879	-2.8234454	.00475105	.23337052	.76899278	"model0"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model1"	"icu"	"eth5"	""	"1"
"model1_icu_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.3577298	.24013879	1.7290535	.08379952	.95998209	1.9202756	"model1"	"icu"	"eth5"	""	"2"
"model1_icu_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.4020536	.33885858	1.3982445	.16203964	.87305173	2.2515896	"model1"	"icu"	"eth5"	""	"3"
"model1_icu_eth5_3"	"4.hh_total_cat"	"Number of people in household"	1.8674534	.96938759	1.2031989	.22889937	.675141	5.1654134	"model1"	"icu"	"eth5"	""	"4"
"model1_icu_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"1.male"	"Male"	1.9609823	.32603319	4.0505529	.0000511	1.4156398	2.7164052	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"age1"	"Age spline 1"	1.0586155	.04470583	1.3488351	.17738994	.97452193	1.1499657	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"age2"	"Age spline 2"	1.2408991	.14609482	1.8332678	.06676275	.98519438	1.5629713	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"age3"	"Age spline 3"	.41815326	.12786691	-2.8513309	.00435366	.22963968	.76141959	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"2.imd"	"Index of Multiple Deprivation (IMD)"	1.8727649	.81843007	1.4356786	.15109382	.79523182	4.4103474	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.8594125	.77998729	1.4786399	.13923659	.81717167	4.230953	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3266527	.55315995	.67790568	.4978315	.58592357	3.0038172	"model1"	"icu"	"eth5"	""	""
"model1_icu_eth5_3"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.6647151	.68543197	1.2378015	.21578969	.74278834	3.7309098	"model1"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model2"	"icu"	"eth5"	""	"1"
"model2_icu_eth5_3"	"2.hh_total_cat"	"Number of people in household"	1.3492637	.28059387	1.4404596	.14973742	.89759481	2.0282119	"model2"	"icu"	"eth5"	""	"2"
"model2_icu_eth5_3"	"3.hh_total_cat"	"Number of people in household"	1.2925303	.38532176	.86074955	.389376	.72058525	2.3184412	"model2"	"icu"	"eth5"	""	"3"
"model2_icu_eth5_3"	"4.hh_total_cat"	"Number of people in household"	2.5794811	1.552806	1.5741091	.11546223	.79272538	8.3934776	"model2"	"icu"	"eth5"	""	"4"
"model2_icu_eth5_3"	"0b.male"	"Male"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.male"	"Male"	3.5881274	.77557979	5.9108049	3.404e-09	2.3489794	5.4809584	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"age1"	"Age spline 1"	1.0116324	.08352394	.14007682	.88859929	.86048739	1.189326	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"age2"	"Age spline 2"	1.2447264	.25006938	1.0896585	.27586359	.83958543	1.8453677	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"age3"	"Age spline 3"	.44442375	.21728066	-1.6587641	.09716335	.17046736	1.1586528	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"2.imd"	"Index of Multiple Deprivation (IMD)"	2.3741985	1.3191719	1.556184	.11966434	.79903416	7.0545402	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"3.imd"	"Index of Multiple Deprivation (IMD)"	1.6330916	.90143807	.88856951	.37423448	.55355671	4.8179129	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.1931913	.6531133	.32269306	.74692771	.40812256	3.4884262	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.651303	.88680359	.93395575	.35032672	.57637322	4.7309654	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"bmi"	"Body Mass Index (BMI, kg/m2)"	1.1107225	.01719304	6.7840132	1.169e-11	1.0775308	1.1449367	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"hba1c_pct"	"HbA1c %"	1.1114414	.07467978	1.5724785	.11583963	.97430015	1.2678864	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0014227	.00922512	.15432882	.87735047	.98350403	1.0196678	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"2.smoke_nomiss"	"Smoking status (missing set to non)"	.78049581	.16201304	-1.1938982	.23251779	.51961376	1.1723587	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"3.smoke_nomiss"	"Smoking status (missing set to non)"	.22268347	.11613101	-2.8801217	.00397522	.08012727	.61886458	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.hypertension"	"Diagnosed hypertension"	1.4955819	.33488314	1.797626	.0722363	.96430282	2.3195671	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"bp_map"	"Mean Arterial Pressure"	1.0165758	.00743079	2.2490762	.02450765	1.0021155	1.0312447	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	2.9109923	1.0583576	2.9388724	.00329409	1.4274712	5.9362855	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	.84864886	.27520228	-.50606983	.61280763	.44946716	1.6023526	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.dm_type"	"Diabetes Type"	1.3283249	1.0312151	.36572025	.71457384	.29006357	6.0829666	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"2.dm_type"	"Diabetes Type"	1.5381456	.40571417	1.6324076	.10259366	.91722816	2.5793929	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"3.dm_type"	"Diabetes Type"	1.2811328	.40757663	.77873421	.4361363	.68674399	2.3899755	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.cancer"	"Cancer"	.92808305	.37218998	-.1861055	.85236203	.42289127	2.036784	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.chronic_liver_disease"	"Chronic liver disease"	.49528792	.50050978	-.69528558	.48687635	.06834109	3.5894968	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.stroke"	"Stroke"	.89056335	.46580985	-.22158659	.82463573	.31947965	2.4824839	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.dementia"	"Dementia"	5.481e-15	1.308e-07	-1.376e-06	.9999989	0		"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.other_neuro"	"Neurological disease"	.91581147	.93318199	-.08630772	.9312218	.12429667	6.7476518	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.egfr60"	"CKD defined by egfr<60"	.99030574	.29856897	-.03231118	.9742239	.54845259	1.7881317	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.esrf"	"end stage renal failure"	7.9977648	3.9610255	4.1980668	.00002692	3.0296814	21.112531	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"icu"	"eth5"	""	""
"model2_icu_eth5_3"	"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.3844317	.55968419	.80463489	.4210304	.62683942	3.057643	"model2"	"icu"	"eth5"	""	""
"crude_icu_eth5_4"	"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"crude"	"icu"	"eth5"	""	"1"
"crude_icu_eth5_4"	"2.hh_total_cat"	"Number of people in household"	1.4564523	.45885775	1.1934664	.23268677	.78545953	2.7006528	"crude"	"icu"	"eth5"	""	"2"
"crude_icu_eth5_4"	"3.hh_total_cat"	"Number of people in household"	1.1870026	.56977417	.35714045	.72098667	.46330358	3.0411489	"crude"	"icu"	"eth5"	""	"3"
