parm	label	estimate	stderr	dof	t	p	min95	max95	model	outcome	idstr4
"1b.bmicat_sa"	"BMI with SA categories"	1	0	0					"model4"	"onsdeath"	"mi"
"2.bmicat_sa"	"BMI with SA categories"	.50176749	.00803399	7.234e+08	-43.070493	0	.48626566	.51776351	"model4"	"onsdeath"	"mi"
"3.bmicat_sa"	"BMI with SA categories"	.36363067	.00599783	1.302e+09	-61.331334	0	.35206313	.37557828	"model4"	"onsdeath"	"mi"
"4.bmicat_sa"	"BMI with SA categories"	.37128457	.00661104	1.454e+09	-55.64382	0	.35855066	.38447073	"model4"	"onsdeath"	"mi"
"5.bmicat_sa"	"BMI with SA categories"	.4440429	.00937548	2.494e+09	-38.450209	0	.42604232	.46280401	"model4"	"onsdeath"	"mi"
"6.bmicat_sa"	"BMI with SA categories"	.59530613	.01504939	2.352e+09	-20.517318	1.508e-93	.56652869	.62554535	"model4"	"onsdeath"	"mi"
"7.bmicat_sa"	"BMI with SA categories"	.63823662	.01184136	9.145e+08	-24.203113	2.06e-129	.61544489	.66187239	"model4"	"onsdeath"	"mi"
"0b.hba1ccat"	"HbA1c category"	1	0	0					"model4"	"onsdeath"	"mi"
"1.hba1ccat"	"HbA1c category"	.96357242	.01395633	1.349e+09	-2.5619833	.01040763	.93660312	.99131829	"model4"	"onsdeath"	"mi"
"2.hba1ccat"	"HbA1c category"	1.0338085	.02371598	1.100e+09	1.4493895	.14722883	.98835555	1.0813518	"model4"	"onsdeath"	"mi"
"3.hba1ccat"	"HbA1c category"	1.0993573	.02469506	1.583e+09	4.2169354	.00002476	1.0520059	1.1488401	"model4"	"onsdeath"	"mi"
"4.hba1ccat"	"HbA1c category"	1.4449592	.03067281	7.088e+08	17.339854	2.353e-67	1.386075	1.5063449	"model4"	"onsdeath"	"mi"
"5.hba1ccat"	"HbA1c category"	1.1418033	.01044681	5.050e+09	14.493732	1.327e-47	1.1215105	1.1624634	"model4"	"onsdeath"	"mi"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0126701	.00015592	9.226e+08	81.771755	0	1.0123646	1.0129758	"model4"	"onsdeath"	"mi"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0	0					"model4"	"onsdeath"	"mi"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1556436	.00917552	1744017.8	18.219393	3.680e-74	1.1377991	1.173768	"model4"	"onsdeath"	"mi"
"3.smoke_nomiss"	"Smoking status (missing set to non)"	1.831552	.02119781	3931680	52.287897	0	1.7904727	1.8735737	"model4"	"onsdeath"	"mi"
"0b.hypertension"	"Diagnosed hypertension"	1	0	0					"model4"	"onsdeath"	"mi"
"1.hypertension"	"Diagnosed hypertension"	1.121137	.0088809	7.123e+08	14.434862	3.123e-47	1.1038652	1.1386791	"model4"	"onsdeath"	"mi"
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0	0					"model4"	"onsdeath"	"mi"
"2.bp_cat"	"Blood pressure four levels non-missing"	.66799352	.00745512	4.008e+10	-36.152334	3.42e-286	.65354041	.68276626	"model4"	"onsdeath"	"mi"
"3.bp_cat"	"Blood pressure four levels non-missing"	.57978092	.00562895	1.201e+10	-56.145688	0	.56885268	.5909191	"model4"	"onsdeath"	"mi"
"4.bp_cat"	"Blood pressure four levels non-missing"	.5744769	.00562679	2.194e+09	-56.591781	0	.56355378	.58561174	"model4"	"onsdeath"	"mi"
"5.bp_cat"	"Blood pressure four levels non-missing"	.42214698	.00749998	1.050e+10	-48.54152	0	.40770028	.43710559	"model4"	"onsdeath"	"mi"
"0b.asthma"	"Asthma category"	1	0	0					"model4"	"onsdeath"	"mi"
"1.asthma"	"Asthma category"	.93871842	.00941469	2.740e+09	-6.3054955	2.873e-10	.92044615	.95735343	"model4"	"onsdeath"	"mi"
