parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"age3"	"Age spline 3"	1.4806497	.0248051	23.427715	2.23e-121	1.4328221	1.5300738	"model2"	"confirmed"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"confirmed"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1158421	.02119731	5.7699193	7.931e-09	1.0750601	1.1581712	"model2"	"confirmed"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.2184709	.02292054	10.50437	8.247e-26	1.1743655	1.2642327	"model2"	"confirmed"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.3632436	.02503906	16.870606	7.403e-64	1.3150408	1.4132133	"model2"	"confirmed"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.5285962	.02863573	22.652106	1.33e-113	1.4734891	1.5857643	"model2"	"confirmed"	""
"bmi"	"Body Mass Index (BMI, kg/m2)"	1.0245047	.00097542	25.427473	1.25e-142	1.0225947	1.0264183	"model2"	"confirmed"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0105673	.00023761	44.707664	0	1.0101017	1.0110331	"model2"	"confirmed"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"confirmed"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0543479	.01292156	4.3182583	.00001573	1.0293238	1.0799803	"model2"	"confirmed"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.66795473	.01244506	-21.65864	5.04e-104	.64400286	.69279743	"model2"	"confirmed"	""
"0b.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1	0			1	1	"model2"	"confirmed"	""
"1.htdiag_or_highbp"	"High blood pressure or hypertension diagnosis"	1.0738362	.01478779	5.1730079	2.304e-07	1.0452403	1.1032144	"model2"	"confirmed"	""
"1o.asthma"	"Asthma category"	1	0			1	1	"model2"	"confirmed"	""
"chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.7514601	.03262649	30.086145	7.36e-199	1.6886666	1.8165886	"model2"	"confirmed"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"confirmed"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.3432075	.02292375	17.288939	5.699e-67	1.2990209	1.3888971	"model2"	"confirmed"	""
"1b.diabcat"	"Diabetes and HbA1c combined"	1	0			1	1	"model2"	"confirmed"	""
"2.diabcat"	"Diabetes and HbA1c combined"	1.1774266	.15128915	1.2711455	.20367689	.9152965	1.5146277	"model2"	"confirmed"	""
"3.diabcat"	"Diabetes and HbA1c combined"	1.6149852	.11388547	6.7972144	1.067e-11	1.4065123	1.8543578	"model2"	"confirmed"	""
"4.diabcat"	"Diabetes and HbA1c combined"	1.1964212	.02349658	9.1315373	6.753e-20	1.1512438	1.2433715	"model2"	"confirmed"	""
"5.diabcat"	"Diabetes and HbA1c combined"	1.4368556	.03254446	16.002681	1.224e-57	1.3744647	1.5020786	"model2"	"confirmed"	""
"6.diabcat"	"Diabetes and HbA1c combined"	1.6473972	.06476782	12.69728	6.122e-37	1.5252223	1.7793588	"model2"	"confirmed"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"confirmed"	""
"1.cancer"	"Cancer"	1.3362526	.02524403	15.34376	3.899e-53	1.28768	1.3866574	"model2"	"confirmed"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"confirmed"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.4906828	.0688915	8.6386808	5.687e-18	1.3615926	1.6320118	"model2"	"confirmed"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"confirmed"	""
"1.stroke"	"Stroke"	1.4301238	.03531217	14.489129	1.419e-47	1.3625613	1.5010365	"model2"	"confirmed"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"confirmed"	""
"1.dementia"	"Dementia"	3.0221514	.14222812	23.500316	4.05e-122	2.7558595	3.3141744	"model2"	"confirmed"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"confirmed"	""
"1.other_neuro"	"Neurological disease"	1.6429174	.06086523	13.401166	5.952e-41	1.5278518	1.7666488	"model2"	"confirmed"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"confirmed"	""
"1.egfr60"	"CKD defined by egfr<60"	1.1540048	.02349961	7.0340608	2.006e-12	1.1088534	1.2009947	"model2"	"confirmed"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"confirmed"	""
"1.esrf"	"end stage renal failure"	3.2760291	.20158782	19.284107	7.304e-83	2.9038204	3.6959471	"model2"	"confirmed"	""
"0b.other_immuno"	"Immunosuppressed (combination algorithm)"	1	0			1	1	"model2"	"confirmed"	""
"1.other_immuno"	"Immunosuppressed (combination algorithm)"	1.2550355	.06675286	4.2709576	.00001946	1.1307908	1.3929314	"model2"	"confirmed"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"confirmed"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.1765478	.0242902	7.8751316	3.404e-15	1.1298902	1.225132	"model2"	"confirmed"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"confirmed"	""
"2.eth5"	"Eth 5 categories"	2.3838306	.0448664	46.15602	0	2.2974963	2.4734092	"model3"	"confirmed"	""
"3.eth5"	"Eth 5 categories"	1.6152343	.05150882	15.035727	4.283e-51	1.5173691	1.7194115	"model3"	"confirmed"	""
"4.eth5"	"Eth 5 categories"	1.5210175	.07439917	8.573799	1.001e-17	1.3819695	1.6740559	"model3"	"confirmed"	""
"5.eth5"	"Eth 5 categories"	1.3299574	.05522635	6.8668885	6.562e-12	1.2260034	1.4427257	"model3"	"confirmed"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"confirmed"	""
"1.male"	"Male"	.90401281	.01096364	-8.3207307	8.742e-17	.88277784	.92575858	"model3"	"confirmed"	""
"age1"	"Age spline 1"	1.0321535	.00229011	14.26352	3.693e-46	1.0276748	1.0366518	"model3"	"confirmed"	""
"age2"	"Age spline 2"	.90325274	.00607897	-15.11911	1.212e-51	.89141642	.91524622	"model3"	"confirmed"	""
"age3"	"Age spline 3"	1.3322712	.02441122	15.657095	2.972e-55	1.285275	1.3809858	"model3"	"confirmed"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"confirmed"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1221919	.0232641	5.5609525	2.683e-08	1.077509	1.1687277	"model3"	"confirmed"	""
